Date,Country,Returns6M,BondYield,BondYieldDiff,BondYieldChg,BondYieldChgMedian,BondYieldDiffRank,BondYieldChgRank,BondYieldChgMedianRank
2010-06-30,turkey,0.2149106378457002,5.612,-1.2750000000000004,-0.18513140699869324,-0.1865125804564073,3.0,8.0,5.0
2010-06-30,united kingdom,0.2700685129283067,3.355,-0.33499999999999996,-0.09078590785907859,-0.062313988095238096,19.0,18.0,20.0
2010-06-30,denmark,0.25968833666369995,,,,,,,
2010-06-30,finland,0.339573313946532,,,,,,,
2010-06-30,norway,0.4475261513832127,,,,,,,
2010-12-31,australia,0.03818273260958627,5.545,-0.0990000000000002,-0.017540751240255226,-0.015824808184143255,21.0,21.0,21.0
2010-12-31,austria,0.0752816358489754,3.507,-0.20999999999999996,-0.05649717514124297,-0.043263288009888747,17.0,18.0,18.0
2010-12-31,belgium,0.08120086999942067,3.9699999999999998,0.2609999999999997,0.07036937179832825,0.05275924802910848,28.0,29.0,29.0
2010-12-31,brazil,-0.016459841419549703,12.168,-0.28200000000000003,-0.022650602409638565,-0.022650602409638558,14.0,20.0,20.0
2010-12-31,canada,0.025664714256481203,3.122,-0.4910000000000001,-0.13589814558538615,-0.08971313721907548,10.0,7.0,11.0
2010-12-31,chile,-0.0009344219361649975,6.3369,0.02149999999999963,0.003404376603223902,0.0033290752138736704,25.0,23.0,25.0
2010-12-31,china,0.009314703783914524,3.91,0.27,0.07417582417582413,0.08157099697885196,30.0,30.0,31.0
2010-12-31,colombia,0.061472230977731135,7.6899999999999995,-0.8000000000000007,-0.09422850412249717,-0.0984009840098402,7.0,15.0,9.0
2010-12-31,france,0.15539124743631816,3.362,-0.23099999999999987,-0.06429167826328974,-0.045924453280318064,16.0,16.0,17.0
2010-12-31,germany,0.14214075621295374,2.963,-0.42399999999999993,-0.12518452908178324,-0.08483393357342936,12.0,10.0,13.0
2010-12-31,hong kong,-0.013617992648014221,2.868,0.2689999999999997,0.10350134667179667,0.06134549600912194,29.0,31.0,30.0
2010-12-31,india,-0.08477644801504114,7.9190000000000005,0.33000000000000007,0.04348398998550529,0.04342105263157896,31.0,28.0,28.0
2010-12-31,indonesia,0.127245392171633,7.606,-2.4540000000000006,-0.24393638170974163,-0.220326809121925,1.0,2.0,1.0
2010-12-31,ireland,0.17204783286795933,9.058,4.218999999999999,0.8718743542054141,0.816212033275295,35.0,35.0,35.0
2010-12-31,israel,-0.07681588981320087,,,,,,,
2010-12-31,italy,0.10820766288777883,4.8149999999999995,0.6729999999999992,0.1624818928054077,0.13268927444794937,32.0,32.0,33.0
2010-12-31,japan,-0.04757745630691146,1.1280000000000001,-0.16699999999999982,-0.12895752895752888,-0.08930481283422449,20.0,9.0,12.0
2010-12-31,malaysia,0.07951082209540217,4.038,-0.24799999999999933,-0.05786280914605679,-0.05851816894761665,15.0,17.0,16.0
2010-12-31,mexico,0.0005106192642747587,6.96,-1.0460000000000003,-0.13065201099175616,-0.12378698224852075,3.0,8.0,4.0
2010-12-31,netherlands,0.05535341788319159,3.154,-0.40100000000000025,-0.11279887482419138,-0.0796583234008741,13.0,11.0,14.0
2010-12-31,new zealand,0.1591337137189408,5.87,0.05999999999999961,0.01032702237521499,0.008941877794336752,27.0,26.0,26.0
2010-12-31,peru,-0.26495901751087203,5.89,0.019999999999999574,0.0034071550255536653,0.0031821797931582455,24.0,24.0,24.0
2010-12-31,philippines,-0.0027267393078548308,6.326,-2.3280000000000003,-0.26900855095909415,-0.17974751959232524,2.0,1.0,2.0
2010-12-31,poland,0.11076662212196209,6.055,-0.20400000000000063,-0.032593065984981684,-0.032593065984981726,18.0,19.0,19.0
2010-12-31,portugal,0.09018530659837687,,,,,,,
2010-12-31,russia,0.09764606034434542,5.917,0.915,0.18292682926829262,0.12411828540423224,33.0,33.0,32.0
2010-12-31,singapore,0.013888236975811541,2.71,0.04999999999999982,0.018796992481203034,0.014005602240896309,26.0,27.0,27.0
2010-12-31,south africa,-0.03800390673427545,8.156,-1.0099999999999998,-0.11018983198778087,-0.0987099296325254,4.0,12.0,8.0
2010-12-31,south korea,0.08278036397199551,4.52,-0.8700000000000001,-0.16141001855287573,-0.16102165463631316,5.0,3.0,3.0
2010-12-31,spain,0.1549679070028016,5.453,1.4750000000000005,0.3707893413775769,0.3009589879616406,34.0,34.0,34.0
2010-12-31,sweden,0.05260957907049102,3.274,-0.017999999999999794,-0.005467800729040073,-0.0034866828087166675,22.0,22.0,22.0
2010-12-31,switzerland,0.08511634196497675,1.716,-0.18500000000000005,-0.09731720147290901,-0.05884223918575065,19.0,14.0,15.0
2010-12-31,taiwan,-0.02737448564514189,1.5544,0.00649999999999995,0.004199237676852485,0.002796901893287414,23.0,25.0,23.0
2010-12-31,thailand,0.0201680278728531,3.726,-0.4580000000000002,-0.10946462715105165,-0.09629941126997481,11.0,13.0,10.0
2010-12-31,turkey,-0.09218179016456929,4.851,-0.8020000000000005,-0.14187157261631,-0.11820191599115704,6.0,5.0,5.0
2010-12-31,united kingdom,0.05569906533356028,3.396,-0.6189999999999998,-0.15417185554171853,-0.11703535640007559,8.0,4.0,6.0
2010-12-31,denmark,0.022902163601083547,,,,,,,
2010-12-31,finland,-0.06061626484588889,,,,,,,
2010-12-31,norway,0.04863513579351508,,,,,,,
2011-06-30,australia,-0.14229477233413224,5.207,0.11299999999999955,0.022182960345504377,0.01816866307580988,17.0,17.0,17.0
2011-06-30,austria,-0.40881193900713464,3.502,0.34199999999999964,0.10822784810126573,0.07107970487373992,23.0,24.0,22.0
2011-06-30,belgium,-0.17330350768470992,4.095,0.6509999999999998,0.18902439024390238,0.1335795629424438,29.0,29.0,29.0
2011-06-30,brazil,-0.20540719612915814,12.46,0.07600000000000051,0.006136950904392702,0.006104417670682772,16.0,12.0,15.0
2011-06-30,canada,-0.14898408077293324,3.11,0.028999999999999915,0.009412528399870057,0.005318173482486689,14.0,14.0,13.0
2011-06-30,chile,-0.20320526555854812,6.4308,-0.14540000000000042,-0.02211003314984339,-0.022608181860588127,9.0,9.0,8.0
2011-06-30,china,-0.19162211748562707,3.89,0.5800000000000001,0.17522658610271913,0.16806722689075632,28.0,28.0,33.0
