Date,Country,Development,BondYield,CBPR,TotalPrices,Prices,Earnings,PE
2000-12-31,united kingdom,DM,4.881,6.0,3242.413,1841.62,73.24,25.145002730748224
2000-12-31,canada,DM,5.399,5.75,1887.701,1156.57,52.66,21.96296999620205
2000-12-31,australia,DM,5.48,6.25,779.664,640.24,34.11,18.769862210495457
2000-12-31,switzerland,DM,3.463,3.5,4357.326,1010.57,49.19,20.544216304126856
2000-12-31,france,DM,5.007,4.75,3385.979,152.01,4.5600000000000005,33.335526315789465
2000-12-31,germany,DM,4.851,4.75,2720.192,123.99,5.0,24.798
2000-12-31,south korea,EM,6.871,,100.0,125.61,10.13,12.39980256663376
2000-12-31,spain,DM,5.193,4.75,1460.484,107.7,5.47,19.689213893967096
2000-12-31,taiwan,EM,5.252,4.625,100.0,222.17,13.36,16.62949101796407
2000-12-31,hong kong,DM,6.446,8.0,17389.814,7046.66,1000.11,7.045884952655208
2000-12-31,sweden,DM,4.752,4.0,8516.48,7734.12,389.65,19.84889002951367
2000-12-31,netherlands,DM,4.987,4.75,6842.977,124.51,8.06,15.44789081885856
2000-12-31,south africa,EM,12.722,12.0,100.0,244.84,20.16,12.14484126984127
2000-12-31,italy,DM,5.263,4.75,776.61,119.9,4.77,25.136268343815516
2000-12-31,india,EM,10.946,,100.0,173.43,10.32,16.805232558139537
2000-12-31,russia,EM,16.236,,100.0,155.23,,
2000-12-31,singapore,DM,4.09,2.81,3789.328,1178.822,65.3,18.05240428790199
2000-12-31,belgium,DM,5.242,4.75,4883.654,85.76,6.18,13.877022653721685
2000-12-31,thailand,EM,5.82,1.5,100.0,102.46,-7.9,-12.969620253164555
2000-12-31,philippines,EM,20.238,13.5,100.0,352.57,-5.32,-66.27255639097744
2000-12-31,austria,DM,5.167,4.75,1358.025,96.94,5.7,17.007017543859646
2000-12-31,poland,EM,11.236,,100.0,1307.87,73.89,17.700230071728242
2000-12-31,ireland,DM,5.081,4.75,409.151,92.13,4.17,22.093525179856115
2000-12-31,new zealand,DM,6.029,6.5,90.014,83.91,4.66,18.006437768240342
2001-06-30,united states,DM,5.412,3.75,,1163.14,48.37,24.046723175522022
2001-06-30,japan,DM,1.194,,3448.19,808.09,19.43,41.58980957282553
2001-06-30,united kingdom,DM,5.289,5.25,2821.851,1680.31,46.41,36.205774617539326
2001-06-30,canada,DM,5.9030000000000005,4.5,1585.892,975.99,55.85,17.475201432408237
2001-06-30,australia,DM,6.06,5.0,802.503,712.98,42.59,16.74054942474759
2001-06-30,switzerland,DM,3.358,3.25,3484.932,889.94,52.7,16.886907020872865
2001-06-30,france,DM,5.236,4.5,2749.61,135.53,6.72,20.168154761904763
2001-06-30,germany,DM,5.103,4.5,2309.101,115.17,6.59,17.476479514415782
2001-06-30,south korea,EM,6.886,,118.033,150.45,15.59,9.650416933932007
2001-06-30,spain,DM,5.417,4.5,1294.722,105.17,6.11,17.21276595744681
2001-06-30,taiwan,EM,3.8689999999999998,3.5,98.945,227.57,15.89,14.3215859030837
2001-06-30,hong kong,DM,6.384,5.25,14637.044,5826.92,-211.04,-27.61050037907506
2001-06-30,sweden,DM,5.47,4.0,6126.645,6333.47,328.68,19.269410977242302
2001-06-30,netherlands,DM,5.259,4.5,5805.062,115.82,9.46,12.243128964059196
2001-06-30,south africa,EM,10.882,11.0,104.844,267.65,22.23,12.040035987404407
2001-06-30,italy,DM,5.498,4.5,614.392,103.34,5.73,18.034904013961604
2001-06-30,india,EM,9.57,6.5,83.137,144.25,10.63,13.57008466603951
2001-06-30,russia,EM,12.684,,138.053,211.6,72.82,2.9057951112331777
2001-06-30,singapore,DM,3.58,2.25,3042.658,980.951,66.73,14.700299715270493
2001-06-30,belgium,DM,5.431,4.5,4213.167,80.11,6.05,13.241322314049587
2001-06-30,thailand,EM,6.048,2.5,110.809,116.54,6.53,17.8468606431853
2001-06-30,philippines,EM,16.559,9.0,95.984,353.98,3.12,113.4551282051282
2001-06-30,austria,DM,5.377,4.5,1328.965,103.22,7.29,14.159122085048011
2001-06-30,poland,EM,11.773,,74.883,941.97,51.94,18.1357335386985
2001-06-30,ireland,DM,5.29,4.5,420.884,104.28,4.57,22.818380743982495
2001-06-30,new zealand,DM,6.759,5.75,94.525,95.73,0.0,inf
2001-12-31,united states,DM,5.051,1.75,,1084.54,39.05,27.77311139564661
