Date,Country,BondYield,Prices,Returns6M,BondYieldDiff,BondYieldChg,BondYieldChgMedian,BondYieldDiffRank,BondYieldChgRank,BondYieldChgMedianRank
1995-06-30,austria,7.252,,,0.040000000000000036,0.005546311702717688,0.005693950177935948,12.0,12.0,12.0
1995-06-30,ireland,8.818,,,0.0030000000000001137,0.0003403289846852786,0.0003308884354491936,11.0,11.0,11.0
1995-06-30,new zealand,7.63,,,-0.055000000000000604,-0.0071567989590111125,-0.006303724928366831,9.0,10.0,10.0
1995-12-31,united states,5.572,,,-2.25,-0.2876502173357197,-0.3073770491803279,2.0,2.0,1.0
1995-12-31,japan,3.07,,,-1.5000000000000004,-0.3282275711159738,-0.27675276752767536,11.0,1.0,2.0
1995-12-31,united kingdom,7.415,,,-1.2950000000000008,-0.14867967853042485,-0.14137554585152848,15.0,14.0,15.0
1995-12-31,canada,7.08,,,-2.0600000000000005,-0.225382932166302,-0.225382932166302,4.0,5.0,6.0
1995-12-31,australia,8.22,,,-1.8199999999999985,-0.1812749003984062,-0.1888946549039957,5.0,10.0,11.0
1995-12-31,switzerland,3.857,,,-1.3789999999999996,-0.2633689839572192,-0.2633689839572192,13.0,3.0,3.0
1995-12-31,france,6.632,,,-1.6370000000000005,-0.19796831539484827,-0.19796831539484827,8.0,9.0,10.0
1995-12-31,germany,6.031,,,-1.5900000000000007,-0.20863403752788356,-0.21762934574322484,9.0,7.0,8.0
1995-12-31,spain,9.702,,,-2.135,-0.1803666469544648,-0.20128217215046668,3.0,11.0,9.0
1995-12-31,sweden,8.447,,,-2.4730000000000008,-0.22646520146520155,-0.24621664675428123,1.0,4.0,4.0
1995-12-31,netherlands,6.028,,,-1.7490000000000006,-0.224893917963225,-0.2330446369087276,6.0,6.0,5.0
1995-12-31,italy,10.868,,,-1.533999999999999,-0.1236897274633123,-0.13440813107859448,10.0,16.0,16.0
1995-12-31,belgium,6.687,,,-1.6719999999999997,-0.20002392630697452,-0.22081352350765976,7.0,8.0,7.0
1995-12-31,austria,6.364,,,-1.359,-0.17596788812637576,-0.1884359400998336,14.0,12.0,12.0
